"fare_id","route_id","origin_id","destination_id","contains_id"
"Ônibus","4718-10","","",""
"Ônibus","4721-10","","",""
"Ônibus","4724-10","","",""
"Ônibus","4725-10","","",""
"Ônibus","4726-10","","",""
"Ônibus","4727-10","","",""
"Ônibus","4729-10","","",""
"Ônibus","4732-10","","",""
"Ônibus","4732-31","","",""
"Ônibus","4734-10","","",""
"Ônibus","4734-21","","",""
"Ônibus","4735-10","","",""
"Ônibus","4742-10","","",""
"Ônibus","475M-10","","",""
"Ônibus","475R-10","","",""
"Ônibus","476A-10","","",""
"Ônibus","476G-10","","",""
"Ônibus","476G-41","","",""
"Ônibus","476L-10","","",""
"Ônibus","477A-10","","",""
"Ônibus","477P-10","","",""
"Ônibus","477U-10","","",""
"Ônibus","478P-10","","",""
"Ônibus","5010-10","","",""
"Ônibus","5011-10","","",""
"Ônibus","5012-10","","",""
"Ônibus","5013-10","","",""
"Ônibus","5013-31","","",""
"Ônibus","5015-10","","",""
"Ônibus","5018-10","","",""
"Ônibus","5018-31","","",""
"Ônibus","5020-10","","",""
"Ônibus","5021-10","","",""
"Ônibus","5022-10","","",""
"Ônibus","5024-10","","",""
"Ônibus","5024-31","","",""
"Ônibus","5025-10","","",""
"Ônibus","5026-10","","",""
"Ônibus","5028-10","","",""
"Ônibus","5029-10","","",""
"Ônibus","502J-10","","",""
"Ônibus","502J-21","","",""
"Ônibus","502J-22","","",""
"Ônibus","502J-23","","",""
"Ônibus","5030-10","","",""
"Ônibus","5031-10","","",""
"Ônibus","5031-21","","",""
"Ônibus","5032-10","","",""
"Ônibus","5033-10","","",""
"Ônibus","5034-10","","",""
"Ônibus","5034-31","","",""
"Ônibus","5035-10","","",""
"Ônibus","5036-10","","",""
"Ônibus","5038-10","","",""
"Ônibus","507T-10","","",""
"Ônibus","508L-10","","",""
"Ônibus","5091-10","","",""
"Ônibus","509J-10","","",""
"Ônibus","509J-21","","",""
"Ônibus","509M-10","","",""
"Ônibus","5100-10","","",""
"Ônibus","5103-10","","",""
"Ônibus","5105-10","","",""
"Ônibus","5106-10","","",""
"Ônibus","5106-21","","",""
"Ônibus","5106-31","","",""
"Ônibus","5107-10","","",""
"Ônibus","5108-10","","",""
"Ônibus","5109-10","","",""
"Ônibus","5110-10","","",""
"Ônibus","5110-21","","",""
"Ônibus","5110-23","","",""
"Ônibus","5110-24","","",""
"Ônibus","5110-41","","",""
"Ônibus","5111-10","","",""
"Ônibus","5119-10","","",""
"Ônibus","5119-22","","",""
"Ônibus","5119-23","","",""
"Ônibus","5123-10","","",""
"Ônibus","5127-10","","",""
"Ônibus","5128-10","","",""
"Ônibus","5129-10","","",""
"Ônibus","5129-41","","",""
"Ônibus","5131-10","","",""
"Ônibus","513C-10","","",""
"Ônibus","513C-31","","",""
"Ônibus","513L-10","","",""
"Ônibus","5141-10","","",""
"Ônibus","5142-10","","",""
"Ônibus","5143-10","","",""
"Ônibus","5144-10","","",""
"Ônibus","5145-10","","",""
"Ônibus","514T-10","","",""
"Ônibus","5154-10","","",""
"Ônibus","5164-10","","",""
"Ônibus","5164-21","","",""
"Ônibus","5164-41","","",""
"Ônibus","516N-10","","",""
"Ônibus","5175-10","","",""
"Ônibus","5178-10","","",""
"Ônibus","517J-10","","",""
"Ônibus","5185-10","","",""
"Ônibus","5194-10","","",""
"Ônibus","5194-21","","",""
"Ônibus","519M-10","","",""
"Ônibus","524L-10","","",""
"Ônibus","524M-10","","",""
"Ônibus","527R-10","","",""
"Ônibus","5290-10","","",""
"Ônibus","5300-10","","",""
"Ônibus","5317-10","","",""
"Ônibus","5318-10","","",""
"Ônibus","5362-10","","",""
"Ônibus","5362-21","","",""
"Ônibus","5362-22","","",""
"Ônibus","5362-23","","",""
